params,accuracy,f1_score
50-0.1-4,0.4,0.25
50-0.1-8,0.3,0.2222222222222222
50-0.1-16,0.4,0.25
50-0.3-4,0.3,0.2222222222222222
50-0.3-8,0.5,0.5454545454545454
50-0.3-16,0.4,0.4
100-0.1-4,0.4,0.25
100-0.1-8,0.3,0.2222222222222222
100-0.1-16,0.3,0.2222222222222222
100-0.3-4,0.6,0.6666666666666666
100-0.3-8,0.5,0.5454545454545454
100-0.3-16,0.4,0.4
200-0.1-4,0.4,0.25
200-0.1-8,0.3,0.2222222222222222
200-0.1-16,0.3,0.2222222222222222
200-0.3-4,0.3,0.2222222222222222
200-0.3-8,0.6,0.6
200-0.3-16,0.3,0.2222222222222222
