params,accuracy,f1_score
50-0.1-4,0.9,0.9230769230769231
50-0.1-8,0.9,0.9230769230769231
50-0.1-16,0.9,0.9230769230769231
50-0.3-4,0.9,0.9230769230769231
50-0.3-8,0.9,0.9230769230769231
50-0.3-16,0.9,0.9230769230769231
100-0.1-4,0.9,0.9230769230769231
100-0.1-8,0.9,0.9230769230769231
100-0.1-16,0.9,0.9230769230769231
100-0.3-4,0.9,0.9230769230769231
100-0.3-8,0.9,0.9230769230769231
100-0.3-16,0.9,0.9230769230769231
200-0.1-4,0.9,0.9230769230769231
200-0.1-8,0.9,0.9230769230769231
200-0.1-16,0.9,0.9230769230769231
200-0.3-4,0.9,0.9230769230769231
200-0.3-8,0.9,0.9230769230769231
200-0.3-16,0.9,0.9230769230769231
