params,accuracy,f1_score
50-0.1-4,0.7777777777777778,0.8235294117647058
50-0.1-8,0.7777777777777778,0.8235294117647058
50-0.1-16,0.7777777777777778,0.8235294117647058
50-0.3-4,0.8148148148148148,0.8387096774193549
50-0.3-8,0.7407407407407407,0.7741935483870968
50-0.3-16,0.8148148148148148,0.8484848484848485
100-0.1-4,0.8148148148148148,0.8387096774193549
100-0.1-8,0.8148148148148148,0.8387096774193549
100-0.1-16,0.8148148148148148,0.8484848484848485
100-0.3-4,0.7777777777777778,0.8
100-0.3-8,0.7037037037037037,0.75
100-0.3-16,0.7777777777777778,0.8235294117647058
200-0.1-4,0.7407407407407407,0.7741935483870968
200-0.1-8,0.7037037037037037,0.75
200-0.1-16,0.7777777777777778,0.8125
200-0.3-4,0.7407407407407407,0.7741935483870968
200-0.3-8,0.7037037037037037,0.75
200-0.3-16,0.7407407407407407,0.7741935483870968
