params,accuracy,f1_score
50-0.1-4,0.8,0.3333333333333333
50-0.1-8,0.85,0.4
50-0.1-16,0.85,0.4
50-0.3-4,0.8,0.3333333333333333
50-0.3-8,0.9,0.6666666666666666
50-0.3-16,0.85,0.5714285714285714
100-0.1-4,0.8,0.3333333333333333
100-0.1-8,0.85,0.4
100-0.1-16,0.85,0.4
100-0.3-4,0.75,0.2857142857142857
100-0.3-8,0.9,0.6666666666666666
100-0.3-16,0.85,0.5714285714285714
200-0.1-4,0.75,0.2857142857142857
200-0.1-8,0.9,0.6666666666666666
200-0.1-16,0.85,0.5714285714285714
200-0.3-4,0.7,0.25
200-0.3-8,0.8,0.3333333333333333
200-0.3-16,0.85,0.4
