params,accuracy,f1_score
50-0.1-4,1.0,1.0
50-0.1-8,0.8181818181818182,0.8571428571428571
50-0.1-16,0.9090909090909091,0.9230769230769231
50-0.3-4,0.8181818181818182,0.8333333333333334
50-0.3-8,0.7272727272727273,0.7692307692307693
50-0.3-16,0.8181818181818182,0.8571428571428571
100-0.1-4,0.9090909090909091,0.9230769230769231
100-0.1-8,0.8181818181818182,0.8571428571428571
100-0.1-16,0.8181818181818182,0.8571428571428571
100-0.3-4,0.8181818181818182,0.8333333333333334
100-0.3-8,0.7272727272727273,0.7692307692307693
100-0.3-16,0.8181818181818182,0.8571428571428571
200-0.1-4,0.9090909090909091,0.9230769230769231
200-0.1-8,0.8181818181818182,0.8571428571428571
200-0.1-16,0.8181818181818182,0.8571428571428571
200-0.3-4,0.8181818181818182,0.8571428571428571
200-0.3-8,0.8181818181818182,0.8571428571428571
200-0.3-16,0.9090909090909091,0.9230769230769231
