params,accuracy,f1_score
50-0.1-4,0.9433962264150944,0.4
50-0.1-8,0.9433962264150944,0.4
50-0.1-16,0.9433962264150944,0.4
50-0.3-4,0.9433962264150944,0.4
50-0.3-8,0.9433962264150944,0.4
50-0.3-16,0.9433962264150944,0.4
100-0.1-4,0.9433962264150944,0.4
100-0.1-8,0.9433962264150944,0.4
100-0.1-16,0.9433962264150944,0.4
100-0.3-4,0.9433962264150944,0.4
100-0.3-8,0.9433962264150944,0.4
100-0.3-16,0.9433962264150944,0.4
200-0.1-4,0.9433962264150944,0.4
200-0.1-8,0.9433962264150944,0.4
200-0.1-16,0.9433962264150944,0.4
200-0.3-4,0.9433962264150944,0.4
200-0.3-8,0.9433962264150944,0.4
200-0.3-16,0.9433962264150944,0.4
