params,accuracy,f1_score
50-0.1-4,1.0,1.0
50-0.1-8,1.0,1.0
50-0.1-16,1.0,1.0
50-0.3-4,1.0,1.0
50-0.3-8,0.9090909090909091,0.6666666666666666
50-0.3-16,1.0,1.0
100-0.1-4,1.0,1.0
100-0.1-8,1.0,1.0
100-0.1-16,1.0,1.0
100-0.3-4,0.9090909090909091,0.6666666666666666
100-0.3-8,0.8636363636363636,0.5714285714285714
100-0.3-16,0.9545454545454546,0.8888888888888888
200-0.1-4,0.9090909090909091,0.6666666666666666
200-0.1-8,0.9090909090909091,0.6666666666666666
200-0.1-16,1.0,1.0
200-0.3-4,0.8636363636363636,0.5714285714285714
200-0.3-8,0.9090909090909091,0.6666666666666666
200-0.3-16,1.0,1.0
