params,accuracy,f1_score
50-0.1-4,0.8333333333333334,0.0
50-0.1-8,0.8333333333333334,0.0
50-0.1-16,0.8333333333333334,0.0
50-0.3-4,0.8333333333333334,0.0
50-0.3-8,0.8333333333333334,0.0
50-0.3-16,0.8333333333333334,0.0
100-0.1-4,0.8333333333333334,0.0
100-0.1-8,0.8333333333333334,0.0
100-0.1-16,0.8333333333333334,0.0
100-0.3-4,0.8055555555555556,0.0
100-0.3-8,0.8611111111111112,0.2857142857142857
100-0.3-16,0.8333333333333334,0.0
200-0.1-4,0.8333333333333334,0.0
200-0.1-8,0.8333333333333334,0.0
200-0.1-16,0.8333333333333334,0.0
200-0.3-4,0.8055555555555556,0.0
200-0.3-8,0.8611111111111112,0.2857142857142857
200-0.3-16,0.8333333333333334,0.0
