params,accuracy,f1_score
50-0.1-4,0.9285714285714286,0.9433962264150944
50-0.1-8,0.9047619047619048,0.9285714285714286
50-0.1-16,0.9285714285714286,0.9454545454545454
50-0.3-4,0.9285714285714286,0.9433962264150944
50-0.3-8,0.9523809523809523,0.9629629629629629
50-0.3-16,0.9047619047619048,0.9285714285714286
100-0.1-4,0.9285714285714286,0.9433962264150944
100-0.1-8,0.9523809523809523,0.9629629629629629
100-0.1-16,0.9285714285714286,0.9454545454545454
100-0.3-4,0.9285714285714286,0.9433962264150944
100-0.3-8,0.9523809523809523,0.9629629629629629
100-0.3-16,0.9047619047619048,0.9285714285714286
200-0.1-4,0.9523809523809523,0.9629629629629629
200-0.1-8,0.9523809523809523,0.9629629629629629
200-0.1-16,0.9523809523809523,0.9629629629629629
200-0.3-4,0.9285714285714286,0.9433962264150944
200-0.3-8,0.9523809523809523,0.9629629629629629
200-0.3-16,0.9523809523809523,0.9629629629629629
