params,accuracy,f1_score
50-0.1-4,0.7586206896551724,0.46153846153846156
50-0.1-8,0.7413793103448276,0.4444444444444444
50-0.1-16,0.7413793103448276,0.4
50-0.3-4,0.7241379310344828,0.42857142857142855
50-0.3-8,0.7068965517241379,0.37037037037037035
50-0.3-16,0.7241379310344828,0.38461538461538464
100-0.1-4,0.7068965517241379,0.41379310344827586
100-0.1-8,0.7068965517241379,0.32
100-0.1-16,0.7241379310344828,0.38461538461538464
100-0.3-4,0.7413793103448276,0.4444444444444444
100-0.3-8,0.6896551724137931,0.35714285714285715
100-0.3-16,0.7068965517241379,0.37037037037037035
200-0.1-4,0.7413793103448276,0.4827586206896552
200-0.1-8,0.7241379310344828,0.42857142857142855
200-0.1-16,0.7413793103448276,0.4827586206896552
200-0.3-4,0.7068965517241379,0.45161290322580644
200-0.3-8,0.7413793103448276,0.4444444444444444
200-0.3-16,0.7241379310344828,0.42857142857142855
