params,accuracy,f1_score
50-0.1-4,0.5072463768115942,0.48484848484848486
50-0.1-8,0.6086956521739131,0.5846153846153846
50-0.1-16,0.5217391304347826,0.5217391304347826
50-0.3-4,0.4927536231884058,0.5070422535211268
50-0.3-8,0.5652173913043478,0.5833333333333334
50-0.3-16,0.5652173913043478,0.5588235294117647
100-0.1-4,0.5652173913043478,0.5714285714285714
100-0.1-8,0.5217391304347826,0.5217391304347826
100-0.1-16,0.5217391304347826,0.5352112676056338
100-0.3-4,0.5362318840579711,0.5428571428571428
100-0.3-8,0.5942028985507246,0.631578947368421
100-0.3-16,0.5797101449275363,0.5915492957746479
200-0.1-4,0.5942028985507246,0.6111111111111112
200-0.1-8,0.6086956521739131,0.64
200-0.1-16,0.5652173913043478,0.5945945945945946
200-0.3-4,0.5072463768115942,0.5405405405405406
200-0.3-8,0.5797101449275363,0.6329113924050633
200-0.3-16,0.5652173913043478,0.5833333333333334
