params,accuracy,f1_score
50-0.1-4,0.9090909090909091,0.9090909090909091
50-0.1-8,0.9393939393939394,0.9411764705882353
50-0.1-16,0.9393939393939394,0.9411764705882353
50-0.3-4,0.9393939393939394,0.9411764705882353
50-0.3-8,0.9393939393939394,0.9411764705882353
50-0.3-16,0.9696969696969697,0.9696969696969697
100-0.1-4,0.9393939393939394,0.9411764705882353
100-0.1-8,0.9393939393939394,0.9411764705882353
100-0.1-16,0.9393939393939394,0.9411764705882353
100-0.3-4,0.9393939393939394,0.9411764705882353
100-0.3-8,0.9393939393939394,0.9411764705882353
100-0.3-16,0.9696969696969697,0.9696969696969697
200-0.1-4,0.9393939393939394,0.9411764705882353
200-0.1-8,0.9393939393939394,0.9411764705882353
200-0.1-16,0.9696969696969697,0.9696969696969697
200-0.3-4,0.9393939393939394,0.9411764705882353
200-0.3-8,0.9393939393939394,0.9411764705882353
200-0.3-16,0.9696969696969697,0.9696969696969697
