params,accuracy,f1_score
50-0.1-4,0.7419354838709677,0.38461538461538464
50-0.1-8,0.7096774193548387,0.3076923076923077
50-0.1-16,0.6774193548387096,0.2857142857142857
50-0.3-4,0.7096774193548387,0.35714285714285715
50-0.3-8,0.6612903225806451,0.36363636363636365
50-0.3-16,0.6290322580645161,0.25806451612903225
100-0.1-4,0.7419354838709677,0.38461538461538464
100-0.1-8,0.6774193548387096,0.375
100-0.1-16,0.6129032258064516,0.25
100-0.3-4,0.6451612903225806,0.26666666666666666
100-0.3-8,0.6290322580645161,0.30303030303030304
100-0.3-16,0.6612903225806451,0.3225806451612903
200-0.1-4,0.6290322580645161,0.34285714285714286
200-0.1-8,0.5645161290322581,0.3076923076923077
200-0.1-16,0.5806451612903226,0.23529411764705882
200-0.3-4,0.5806451612903226,0.2777777777777778
200-0.3-8,0.5806451612903226,0.2777777777777778
200-0.3-16,0.5806451612903226,0.3157894736842105
