params,accuracy,f1_score
50-0.1-4,0.7741935483870968,0.8627450980392157
50-0.1-8,0.7419354838709677,0.8461538461538461
50-0.1-16,0.7419354838709677,0.8461538461538461
50-0.3-4,0.7741935483870968,0.8627450980392157
50-0.3-8,0.8064516129032258,0.8846153846153846
50-0.3-16,0.8387096774193549,0.9056603773584906
100-0.1-4,0.7741935483870968,0.8679245283018868
100-0.1-8,0.7741935483870968,0.8627450980392157
100-0.1-16,0.7419354838709677,0.8461538461538461
100-0.3-4,0.8064516129032258,0.8846153846153846
100-0.3-8,0.7741935483870968,0.8679245283018868
100-0.3-16,0.8387096774193549,0.9056603773584906
200-0.1-4,0.8387096774193549,0.9019607843137255
200-0.1-8,0.8387096774193549,0.9019607843137255
200-0.1-16,0.7741935483870968,0.8627450980392157
200-0.3-4,0.8387096774193549,0.9019607843137255
200-0.3-8,0.8064516129032258,0.8846153846153846
200-0.3-16,0.7741935483870968,0.8627450980392157
