params,accuracy,f1_score
50-0.1-4,0.9577464788732394,0.967741935483871
50-0.1-8,0.9295774647887324,0.9473684210526315
50-0.1-16,0.9295774647887324,0.9484536082474226
50-0.3-4,0.9436619718309859,0.9565217391304348
50-0.3-8,0.9436619718309859,0.9574468085106383
50-0.3-16,0.9154929577464789,0.9375
100-0.1-4,0.9577464788732394,0.967741935483871
100-0.1-8,0.9577464788732394,0.968421052631579
100-0.1-16,0.9295774647887324,0.9484536082474226
100-0.3-4,0.9436619718309859,0.9565217391304348
100-0.3-8,0.9577464788732394,0.968421052631579
100-0.3-16,0.9295774647887324,0.9484536082474226
200-0.1-4,0.9577464788732394,0.967741935483871
200-0.1-8,0.9436619718309859,0.9583333333333334
200-0.1-16,0.9295774647887324,0.9484536082474226
200-0.3-4,0.9436619718309859,0.9565217391304348
200-0.3-8,0.9577464788732394,0.968421052631579
200-0.3-16,0.9295774647887324,0.9484536082474226
