params,accuracy,f1_score
50-0.1-4,0.75,0.8
50-0.1-8,0.8333333333333334,0.8571428571428571
50-0.1-16,0.75,0.8
50-0.3-4,0.75,0.8
50-0.3-8,0.8333333333333334,0.8571428571428571
50-0.3-16,0.8333333333333334,0.8571428571428571
100-0.1-4,0.8333333333333334,0.8571428571428571
100-0.1-8,0.8333333333333334,0.8571428571428571
100-0.1-16,0.8333333333333334,0.8571428571428571
100-0.3-4,0.75,0.8
100-0.3-8,0.8333333333333334,0.8571428571428571
100-0.3-16,0.8333333333333334,0.8571428571428571
200-0.1-4,0.9166666666666666,0.9230769230769231
200-0.1-8,0.8333333333333334,0.8571428571428571
200-0.1-16,0.9166666666666666,0.9230769230769231
200-0.3-4,0.9166666666666666,0.9230769230769231
200-0.3-8,0.75,0.8
200-0.3-16,0.8333333333333334,0.8571428571428571
