params,accuracy,f1_score
50-0.1-4,0.8333333333333334,0.7272727272727273
50-0.1-8,0.8888888888888888,0.8333333333333334
50-0.1-16,0.9444444444444444,0.9230769230769231
50-0.3-4,0.8888888888888888,0.8333333333333334
50-0.3-8,0.6666666666666666,0.5714285714285714
50-0.3-16,0.7222222222222222,0.6153846153846154
100-0.1-4,0.8888888888888888,0.8333333333333334
100-0.1-8,0.7777777777777778,0.6666666666666666
100-0.1-16,0.7777777777777778,0.6666666666666666
100-0.3-4,0.8333333333333334,0.7272727272727273
100-0.3-8,0.6666666666666666,0.5714285714285714
100-0.3-16,0.7222222222222222,0.6153846153846154
200-0.1-4,0.6666666666666666,0.5
200-0.1-8,0.6666666666666666,0.5714285714285714
200-0.1-16,0.7777777777777778,0.6666666666666666
200-0.3-4,0.7222222222222222,0.6153846153846154
200-0.3-8,0.6666666666666666,0.5
200-0.3-16,0.7777777777777778,0.6666666666666666
