params,accuracy,f1_score
50-0.1-4,0.9090909090909091,0.8888888888888888
50-0.1-8,0.8636363636363636,0.8421052631578947
50-0.1-16,0.7727272727272727,0.6666666666666666
50-0.3-4,0.8636363636363636,0.8
50-0.3-8,0.9090909090909091,0.8888888888888888
50-0.3-16,0.8181818181818182,0.75
100-0.1-4,0.9090909090909091,0.875
100-0.1-8,0.9090909090909091,0.8888888888888888
100-0.1-16,0.7727272727272727,0.6666666666666666
100-0.3-4,0.8636363636363636,0.8
100-0.3-8,0.9090909090909091,0.8888888888888888
100-0.3-16,0.8181818181818182,0.75
200-0.1-4,0.9545454545454546,0.9333333333333333
200-0.1-8,0.8636363636363636,0.8235294117647058
200-0.1-16,0.7727272727272727,0.6666666666666666
200-0.3-4,0.9090909090909091,0.8571428571428571
200-0.3-8,0.9090909090909091,0.8888888888888888
200-0.3-16,0.8181818181818182,0.75
