params,accuracy,f1_score
50-0.1-4,0.0,0.0
50-0.1-8,0.14285714285714285,0.0
50-0.1-16,0.14285714285714285,0.0
50-0.3-4,0.0,0.0
50-0.3-8,0.14285714285714285,0.0
50-0.3-16,0.14285714285714285,0.0
100-0.1-4,0.0,0.0
100-0.1-8,0.14285714285714285,0.0
100-0.1-16,0.14285714285714285,0.0
100-0.3-4,0.0,0.0
100-0.3-8,0.14285714285714285,0.0
100-0.3-16,0.14285714285714285,0.0
200-0.1-4,0.0,0.0
200-0.1-8,0.14285714285714285,0.0
200-0.1-16,0.14285714285714285,0.0
200-0.3-4,0.0,0.0
200-0.3-8,0.14285714285714285,0.0
200-0.3-16,0.14285714285714285,0.0
