params,accuracy,f1_score
50-0.1-4,0.7222222222222222,0.0
50-0.1-8,0.7222222222222222,0.0
50-0.1-16,0.7222222222222222,0.0
50-0.3-4,0.7777777777777778,0.3333333333333333
50-0.3-8,0.6666666666666666,0.25
50-0.3-16,0.5555555555555556,0.0
100-0.1-4,0.7222222222222222,0.0
100-0.1-8,0.7222222222222222,0.0
100-0.1-16,0.7222222222222222,0.0
100-0.3-4,0.6666666666666666,0.25
100-0.3-8,0.6666666666666666,0.25
100-0.3-16,0.5555555555555556,0.0
200-0.1-4,0.7222222222222222,0.0
200-0.1-8,0.6111111111111112,0.0
200-0.1-16,0.5555555555555556,0.0
200-0.3-4,0.7222222222222222,0.0
200-0.3-8,0.5555555555555556,0.0
200-0.3-16,0.5555555555555556,0.0
