params,accuracy,f1_score
50-0.1-4,0.9,0.8947368421052632
50-0.1-8,0.9,0.8947368421052632
50-0.1-16,0.925,0.9230769230769231
50-0.3-4,0.925,0.9230769230769231
50-0.3-8,0.95,0.95
50-0.3-16,0.925,0.9230769230769231
100-0.1-4,0.95,0.95
100-0.1-8,0.95,0.95
100-0.1-16,0.95,0.95
100-0.3-4,0.9,0.8947368421052632
100-0.3-8,0.925,0.9230769230769231
100-0.3-16,0.925,0.9230769230769231
200-0.1-4,0.95,0.95
200-0.1-8,0.95,0.95
200-0.1-16,0.925,0.9230769230769231
200-0.3-4,0.975,0.975609756097561
200-0.3-8,0.95,0.95
200-0.3-16,0.925,0.9230769230769231
