params,accuracy,f1_score
50-0.1-4,0.86,0.8372093023255814
50-0.1-8,0.86,0.8372093023255814
50-0.1-16,0.84,0.8181818181818182
50-0.3-4,0.82,0.8
50-0.3-8,0.78,0.7555555555555555
50-0.3-16,0.78,0.7555555555555555
100-0.1-4,0.84,0.8181818181818182
100-0.1-8,0.82,0.8
100-0.1-16,0.8,0.782608695652174
100-0.3-4,0.82,0.8
100-0.3-8,0.78,0.7555555555555555
100-0.3-16,0.78,0.7555555555555555
200-0.1-4,0.8,0.7727272727272727
200-0.1-8,0.82,0.7906976744186046
200-0.1-16,0.8,0.7727272727272727
200-0.3-4,0.8,0.7727272727272727
200-0.3-8,0.8,0.7727272727272727
200-0.3-16,0.78,0.7555555555555555
