params,accuracy,f1_score
50-0.1-4,0.7096774193548387,0.4
50-0.1-8,0.7419354838709677,0.4782608695652174
50-0.1-16,0.6989247311827957,0.391304347826087
50-0.3-4,0.7096774193548387,0.47058823529411764
50-0.3-8,0.7204301075268817,0.4583333333333333
50-0.3-16,0.6881720430107527,0.3829787234042553
100-0.1-4,0.7311827956989247,0.4897959183673469
100-0.1-8,0.7204301075268817,0.4090909090909091
100-0.1-16,0.6881720430107527,0.32558139534883723
100-0.3-4,0.7096774193548387,0.49056603773584906
100-0.3-8,0.7204301075268817,0.48
100-0.3-16,0.6881720430107527,0.40816326530612246
200-0.1-4,0.6881720430107527,0.4528301886792453
200-0.1-8,0.7419354838709677,0.4782608695652174
200-0.1-16,0.6774193548387096,0.34782608695652173
200-0.3-4,0.6559139784946236,0.4482758620689655
200-0.3-8,0.7311827956989247,0.4897959183673469
200-0.3-16,0.7204301075268817,0.4090909090909091
