params,accuracy,f1_score
50-0.1-4,0.8333333333333334,0.8
50-0.1-8,0.8095238095238095,0.7647058823529411
50-0.1-16,0.7857142857142857,0.7428571428571429
50-0.3-4,0.8809523809523809,0.8648648648648649
50-0.3-8,0.8333333333333334,0.8108108108108109
50-0.3-16,0.7619047619047619,0.7222222222222222
100-0.1-4,0.8809523809523809,0.8648648648648649
100-0.1-8,0.8095238095238095,0.7647058823529411
100-0.1-16,0.7619047619047619,0.7222222222222222
100-0.3-4,0.8809523809523809,0.8648648648648649
100-0.3-8,0.8333333333333334,0.8108108108108109
100-0.3-16,0.7619047619047619,0.7222222222222222
200-0.1-4,0.8333333333333334,0.8108108108108109
200-0.1-8,0.8095238095238095,0.7777777777777778
200-0.1-16,0.7619047619047619,0.7222222222222222
200-0.3-4,0.8809523809523809,0.8648648648648649
200-0.3-8,0.8095238095238095,0.7894736842105263
200-0.3-16,0.7619047619047619,0.7222222222222222
