params,accuracy,f1_score
50-0.1-4,0.9259259259259259,0.9583333333333334
50-0.1-8,0.9259259259259259,0.9583333333333334
50-0.1-16,0.9444444444444444,0.968421052631579
50-0.3-4,0.9074074074074074,0.9473684210526315
50-0.3-8,0.9259259259259259,0.9583333333333334
50-0.3-16,0.9444444444444444,0.968421052631579
100-0.1-4,0.9259259259259259,0.9583333333333334
100-0.1-8,0.9259259259259259,0.9583333333333334
100-0.1-16,0.9444444444444444,0.968421052631579
100-0.3-4,0.9444444444444444,0.968421052631579
100-0.3-8,0.9259259259259259,0.9583333333333334
100-0.3-16,0.9259259259259259,0.9574468085106383
200-0.1-4,0.9444444444444444,0.968421052631579
200-0.1-8,0.9259259259259259,0.9583333333333334
200-0.1-16,0.9444444444444444,0.968421052631579
200-0.3-4,0.9444444444444444,0.968421052631579
200-0.3-8,0.9444444444444444,0.968421052631579
200-0.3-16,0.9259259259259259,0.9574468085106383
