params,accuracy,f1_score
50-0.1-4,0.9,0.9320388349514563
50-0.1-8,0.8714285714285714,0.9142857142857143
50-0.1-16,0.8857142857142857,0.9183673469387755
50-0.3-4,0.8428571428571429,0.8910891089108911
50-0.3-8,0.9142857142857143,0.9411764705882353
50-0.3-16,0.8571428571428571,0.9019607843137255
100-0.1-4,0.8714285714285714,0.9142857142857143
100-0.1-8,0.8714285714285714,0.9142857142857143
100-0.1-16,0.8571428571428571,0.9
100-0.3-4,0.8428571428571429,0.8910891089108911
100-0.3-8,0.9,0.9306930693069307
100-0.3-16,0.8571428571428571,0.9019607843137255
200-0.1-4,0.8714285714285714,0.912621359223301
200-0.1-8,0.8571428571428571,0.9019607843137255
200-0.1-16,0.8714285714285714,0.9108910891089109
200-0.3-4,0.8428571428571429,0.8910891089108911
200-0.3-8,0.9,0.9306930693069307
200-0.3-16,0.8571428571428571,0.9019607843137255
