params,accuracy,f1_score
"(64, 32)-0.001-50",0.6,0.0
"(64, 32)-0.001-100",0.4,0.5714285714285714
"(64, 32)-0.0005-50",0.4,0.5714285714285714
"(64, 32)-0.0005-100",0.4,0.5714285714285714
"(128, 64)-0.001-50",0.4,0.5714285714285714
"(128, 64)-0.001-100",0.6,0.0
"(128, 64)-0.0005-50",0.4,0.5714285714285714
"(128, 64)-0.0005-100",0.6,0.0
"(256, 128)-0.001-50",0.6,0.0
"(256, 128)-0.001-100",0.4,0.5714285714285714
"(256, 128)-0.0005-50",0.4,0.5714285714285714
"(256, 128)-0.0005-100",0.4,0.5714285714285714
