params,accuracy,f1_score
"(64, 32)-0.001-300",0.7647058823529411,0.75
"(64, 32)-0.001-500",0.7058823529411765,0.7619047619047619
"(64, 32)-0.0005-300",0.7058823529411765,0.7619047619047619
"(64, 32)-0.0005-500",0.7058823529411765,0.7619047619047619
"(128, 64)-0.001-300",0.4117647058823529,0.0
"(128, 64)-0.001-500",0.5882352941176471,0.631578947368421
"(128, 64)-0.0005-300",0.4117647058823529,0.0
"(128, 64)-0.0005-500",0.4117647058823529,0.0
"(256, 128)-0.001-300",0.35294117647058826,0.0
"(256, 128)-0.001-500",0.7058823529411765,0.7619047619047619
"(256, 128)-0.0005-300",0.35294117647058826,0.0
"(256, 128)-0.0005-500",0.7058823529411765,0.7619047619047619
