params,accuracy,f1_score
"(64, 32)-0.001-300",0.5925925925925926,0.6666666666666666
"(64, 32)-0.001-500",0.6296296296296297,0.7058823529411765
"(64, 32)-0.0005-300",0.5555555555555556,0.625
"(64, 32)-0.0005-500",0.6296296296296297,0.7058823529411765
"(128, 64)-0.001-300",0.5925925925925926,0.6666666666666666
"(128, 64)-0.001-500",0.5925925925925926,0.6666666666666666
"(128, 64)-0.0005-300",0.5555555555555556,0.625
"(128, 64)-0.0005-500",0.5555555555555556,0.625
"(256, 128)-0.001-300",0.6666666666666666,0.7272727272727273
"(256, 128)-0.001-500",0.5925925925925926,0.6666666666666666
"(256, 128)-0.0005-300",0.6296296296296297,0.6875
"(256, 128)-0.0005-500",0.6296296296296297,0.7058823529411765
