params,accuracy,f1_score
"(64, 32)-0.001-50",0.7894736842105263,0.7142857142857143
"(64, 32)-0.001-100",0.7894736842105263,0.7142857142857143
"(64, 32)-0.0005-50",0.8421052631578947,0.8
"(64, 32)-0.0005-100",0.7368421052631579,0.6153846153846154
"(128, 64)-0.001-50",0.7368421052631579,0.6153846153846154
"(128, 64)-0.001-100",0.7368421052631579,0.6153846153846154
"(128, 64)-0.0005-50",0.7368421052631579,0.6153846153846154
"(128, 64)-0.0005-100",0.7894736842105263,0.7142857142857143
"(256, 128)-0.001-50",0.7368421052631579,0.6153846153846154
"(256, 128)-0.001-100",0.631578947368421,0.2222222222222222
"(256, 128)-0.0005-50",0.8421052631578947,0.8
"(256, 128)-0.0005-100",0.6842105263157895,0.5
