params,accuracy,f1_score
"(64, 32)-0.001-50",0.7272727272727273,0.8
"(64, 32)-0.001-100",0.6363636363636364,0.7142857142857143
"(64, 32)-0.0005-50",0.5454545454545454,0.7058823529411765
"(64, 32)-0.0005-100",0.6363636363636364,0.7142857142857143
"(128, 64)-0.001-50",0.7272727272727273,0.7692307692307693
"(128, 64)-0.001-100",0.7272727272727273,0.7692307692307693
"(128, 64)-0.0005-50",0.8181818181818182,0.8
"(128, 64)-0.0005-100",0.6363636363636364,0.75
"(256, 128)-0.001-50",0.5454545454545454,0.7058823529411765
"(256, 128)-0.001-100",0.5454545454545454,0.7058823529411765
"(256, 128)-0.0005-50",0.5454545454545454,0.7058823529411765
"(256, 128)-0.0005-100",0.5454545454545454,0.7058823529411765
