params,accuracy,f1_score
"(64, 32)-0.001-50",0.9090909090909091,0.6666666666666666
"(64, 32)-0.001-100",0.9545454545454546,0.8571428571428571
"(64, 32)-0.0005-50",0.8181818181818182,0.0
"(64, 32)-0.0005-100",0.9090909090909091,0.6666666666666666
"(128, 64)-0.001-50",0.9545454545454546,0.8571428571428571
"(128, 64)-0.001-100",0.9545454545454546,0.8571428571428571
"(128, 64)-0.0005-50",0.8636363636363636,0.4
"(128, 64)-0.0005-100",0.9090909090909091,0.6666666666666666
"(256, 128)-0.001-50",0.9545454545454546,0.8571428571428571
"(256, 128)-0.001-100",0.9545454545454546,0.8571428571428571
"(256, 128)-0.0005-50",0.9090909090909091,0.6666666666666666
"(256, 128)-0.0005-100",0.9545454545454546,0.8571428571428571
