params,accuracy,f1_score
"(64, 32)-0.001-50",0.8611111111111112,0.0
"(64, 32)-0.001-100",0.8055555555555556,0.0
"(64, 32)-0.0005-50",0.8611111111111112,0.0
"(64, 32)-0.0005-100",0.8611111111111112,0.0
"(128, 64)-0.001-50",0.8333333333333334,0.0
"(128, 64)-0.001-100",0.8055555555555556,0.2222222222222222
"(128, 64)-0.0005-50",0.8611111111111112,0.0
"(128, 64)-0.0005-100",0.8055555555555556,0.0
"(256, 128)-0.001-50",0.7777777777777778,0.0
"(256, 128)-0.001-100",0.8055555555555556,0.2222222222222222
"(256, 128)-0.0005-50",0.7777777777777778,0.0
"(256, 128)-0.0005-100",0.8055555555555556,0.2222222222222222
