params,accuracy,f1_score
"(64, 32)-0.001-300",0.3333333333333333,0.0
"(64, 32)-0.001-500",0.6428571428571429,0.6808510638297872
"(64, 32)-0.0005-300",0.30952380952380953,0.06451612903225806
"(64, 32)-0.0005-500",0.7380952380952381,0.8253968253968254
"(128, 64)-0.001-300",0.7619047619047619,0.84375
"(128, 64)-0.001-500",0.47619047619047616,0.35294117647058826
"(128, 64)-0.0005-300",0.8095238095238095,0.8518518518518519
"(128, 64)-0.0005-500",0.7380952380952381,0.8253968253968254
"(256, 128)-0.001-300",0.7380952380952381,0.8253968253968254
"(256, 128)-0.001-500",0.7619047619047619,0.8214285714285714
"(256, 128)-0.0005-300",0.7619047619047619,0.8333333333333334
"(256, 128)-0.0005-500",0.7619047619047619,0.8275862068965517
