params,accuracy,f1_score
"(64, 32)-0.001-50",0.7586206896551724,0.5333333333333333
"(64, 32)-0.001-100",0.7758620689655172,0.5517241379310345
"(64, 32)-0.0005-50",0.7413793103448276,0.5161290322580645
"(64, 32)-0.0005-100",0.7931034482758621,0.5384615384615384
"(128, 64)-0.001-50",0.7586206896551724,0.4166666666666667
"(128, 64)-0.001-100",0.7931034482758621,0.5714285714285714
"(128, 64)-0.0005-50",0.7931034482758621,0.5384615384615384
"(128, 64)-0.0005-100",0.7758620689655172,0.5517241379310345
"(256, 128)-0.001-50",0.7586206896551724,0.5
"(256, 128)-0.001-100",0.7241379310344828,0.5789473684210527
"(256, 128)-0.0005-50",0.7586206896551724,0.5
"(256, 128)-0.0005-100",0.7586206896551724,0.5
