params,accuracy,f1_score
"(64, 32)-0.001-50",0.5507246376811594,0.5753424657534246
"(64, 32)-0.001-100",0.5942028985507246,0.6744186046511628
"(64, 32)-0.0005-50",0.5797101449275363,0.6329113924050633
"(64, 32)-0.0005-100",0.5652173913043478,0.6341463414634146
"(128, 64)-0.001-50",0.5797101449275363,0.5538461538461539
"(128, 64)-0.001-100",0.6086956521739131,0.6493506493506493
"(128, 64)-0.0005-50",0.6086956521739131,0.64
"(128, 64)-0.0005-100",0.6086956521739131,0.6823529411764706
"(256, 128)-0.001-50",0.5797101449275363,0.6947368421052632
"(256, 128)-0.001-100",0.5797101449275363,0.7010309278350515
"(256, 128)-0.0005-50",0.6086956521739131,0.5970149253731343
"(256, 128)-0.0005-100",0.5942028985507246,0.7083333333333334
