params,accuracy,f1_score
"(64, 32)-0.001-50",0.5454545454545454,0.7058823529411765
"(64, 32)-0.001-100",0.7272727272727273,0.7428571428571429
"(64, 32)-0.0005-50",0.5454545454545454,0.7058823529411765
"(64, 32)-0.0005-100",0.5757575757575758,0.36363636363636365
"(128, 64)-0.001-50",0.48484848484848486,0.10526315789473684
"(128, 64)-0.001-100",0.6666666666666666,0.6451612903225806
"(128, 64)-0.0005-50",0.48484848484848486,0.10526315789473684
"(128, 64)-0.0005-100",0.6363636363636364,0.5
"(256, 128)-0.001-50",0.48484848484848486,0.10526315789473684
"(256, 128)-0.001-100",0.5454545454545454,0.2857142857142857
"(256, 128)-0.0005-50",0.48484848484848486,0.10526315789473684
"(256, 128)-0.0005-100",0.5151515151515151,0.2
