params,accuracy,f1_score
"(64, 32)-0.001-50",0.7419354838709677,0.42857142857142855
"(64, 32)-0.001-100",0.7741935483870968,0.46153846153846156
"(64, 32)-0.0005-50",0.7419354838709677,0.42857142857142855
"(64, 32)-0.0005-100",0.7419354838709677,0.42857142857142855
"(128, 64)-0.001-50",0.7419354838709677,0.4666666666666667
"(128, 64)-0.001-100",0.7580645161290323,0.5161290322580645
"(128, 64)-0.0005-50",0.7419354838709677,0.42857142857142855
"(128, 64)-0.0005-100",0.7419354838709677,0.4666666666666667
"(256, 128)-0.001-50",0.7258064516129032,0.19047619047619047
"(256, 128)-0.001-100",0.7419354838709677,0.4666666666666667
"(256, 128)-0.0005-50",0.7096774193548387,0.18181818181818182
"(256, 128)-0.0005-100",0.7741935483870968,0.5625
