params,accuracy,f1_score
"(64, 32)-0.001-300",0.8709677419354839,0.92
"(64, 32)-0.001-500",0.8709677419354839,0.92
"(64, 32)-0.0005-300",0.8387096774193549,0.9019607843137255
"(64, 32)-0.0005-500",0.8387096774193549,0.9019607843137255
"(128, 64)-0.001-300",0.8709677419354839,0.92
"(128, 64)-0.001-500",0.8709677419354839,0.92
"(128, 64)-0.0005-300",0.8709677419354839,0.92
"(128, 64)-0.0005-500",0.8709677419354839,0.92
"(256, 128)-0.001-300",0.8709677419354839,0.92
"(256, 128)-0.001-500",0.8709677419354839,0.92
"(256, 128)-0.0005-300",0.8709677419354839,0.92
"(256, 128)-0.0005-500",0.8709677419354839,0.92
