params,accuracy,f1_score
"(64, 32)-0.001-50",0.9014084507042254,0.9333333333333333
"(64, 32)-0.001-100",0.9295774647887324,0.9504950495049505
"(64, 32)-0.0005-50",0.9014084507042254,0.9333333333333333
"(64, 32)-0.0005-100",0.9154929577464789,0.9423076923076923
"(128, 64)-0.001-50",0.9295774647887324,0.9514563106796117
"(128, 64)-0.001-100",0.9436619718309859,0.9607843137254902
"(128, 64)-0.0005-50",0.9154929577464789,0.9423076923076923
"(128, 64)-0.0005-100",0.9295774647887324,0.9514563106796117
"(256, 128)-0.001-50",0.9577464788732394,0.9696969696969697
"(256, 128)-0.001-100",0.971830985915493,0.98
"(256, 128)-0.0005-50",0.9436619718309859,0.96
"(256, 128)-0.0005-100",0.9577464788732394,0.9696969696969697
