params,accuracy,f1_score
"(64, 32)-0.001-300",0.99,0.9894736842105263
"(64, 32)-0.001-500",0.99,0.9894736842105263
"(64, 32)-0.0005-300",0.95,0.9494949494949495
"(64, 32)-0.0005-500",0.99,0.9894736842105263
"(128, 64)-0.001-300",0.93,0.9306930693069307
"(128, 64)-0.001-500",1.0,1.0
"(128, 64)-0.0005-300",0.92,0.9215686274509803
"(128, 64)-0.0005-500",1.0,1.0
"(256, 128)-0.001-300",0.98,0.9791666666666666
"(256, 128)-0.001-500",0.98,0.9791666666666666
"(256, 128)-0.0005-300",0.97,0.968421052631579
"(256, 128)-0.0005-500",0.99,0.9894736842105263
