params,accuracy,f1_score
"(64, 32)-0.001-300",1.0,1.0
"(64, 32)-0.001-500",1.0,1.0
"(64, 32)-0.0005-300",1.0,1.0
"(64, 32)-0.0005-500",1.0,1.0
"(128, 64)-0.001-300",0.9166666666666666,0.9411764705882353
"(128, 64)-0.001-500",0.9166666666666666,0.9411764705882353
"(128, 64)-0.0005-300",0.9166666666666666,0.9411764705882353
"(128, 64)-0.0005-500",0.9166666666666666,0.9411764705882353
"(256, 128)-0.001-300",0.9166666666666666,0.9411764705882353
"(256, 128)-0.001-500",0.9166666666666666,0.9411764705882353
"(256, 128)-0.0005-300",0.9166666666666666,0.9411764705882353
"(256, 128)-0.0005-500",0.9166666666666666,0.9411764705882353
