params,accuracy,f1_score
"(64, 32)-0.001-300",0.6666666666666666,0.4
"(64, 32)-0.001-500",0.7222222222222222,0.5454545454545454
"(64, 32)-0.0005-300",0.7222222222222222,0.5454545454545454
"(64, 32)-0.0005-500",0.7222222222222222,0.5454545454545454
"(128, 64)-0.001-300",0.7222222222222222,0.4444444444444444
"(128, 64)-0.001-500",0.7222222222222222,0.4444444444444444
"(128, 64)-0.0005-300",0.7222222222222222,0.4444444444444444
"(128, 64)-0.0005-500",0.7222222222222222,0.4444444444444444
"(256, 128)-0.001-300",0.7222222222222222,0.4444444444444444
"(256, 128)-0.001-500",0.6666666666666666,0.5714285714285714
"(256, 128)-0.0005-300",0.7222222222222222,0.4444444444444444
"(256, 128)-0.0005-500",0.6666666666666666,0.5714285714285714
