params,accuracy,f1_score
"(64, 32)-0.001-300",0.8181818181818182,0.8333333333333334
"(64, 32)-0.001-500",0.8181818181818182,0.8333333333333334
"(64, 32)-0.0005-300",0.8181818181818182,0.8333333333333334
"(64, 32)-0.0005-500",0.8181818181818182,0.8333333333333334
"(128, 64)-0.001-300",0.7272727272727273,0.75
"(128, 64)-0.001-500",0.7272727272727273,0.75
"(128, 64)-0.0005-300",0.6818181818181818,0.6956521739130435
"(128, 64)-0.0005-500",0.7272727272727273,0.75
"(256, 128)-0.001-300",0.7727272727272727,0.8
"(256, 128)-0.001-500",0.8181818181818182,0.8461538461538461
"(256, 128)-0.0005-300",0.7727272727272727,0.8
"(256, 128)-0.0005-500",0.7727272727272727,0.8
