params,accuracy,f1_score
"(64, 32)-0.001-300",0.5,0.0
"(64, 32)-0.001-500",0.4444444444444444,0.16666666666666666
"(64, 32)-0.0005-300",0.5,0.0
"(64, 32)-0.0005-500",0.4444444444444444,0.0
"(128, 64)-0.001-300",0.4444444444444444,0.0
"(128, 64)-0.001-500",0.3888888888888889,0.0
"(128, 64)-0.0005-300",0.5,0.0
"(128, 64)-0.0005-500",0.4444444444444444,0.0
"(256, 128)-0.001-300",0.4444444444444444,0.0
"(256, 128)-0.001-500",0.4444444444444444,0.0
"(256, 128)-0.0005-300",0.4444444444444444,0.0
"(256, 128)-0.0005-500",0.4444444444444444,0.0
