params,accuracy,f1_score
"(64, 32)-0.001-300",0.82,0.8301886792452831
"(64, 32)-0.001-500",0.82,0.8301886792452831
"(64, 32)-0.0005-300",0.84,0.8518518518518519
"(64, 32)-0.0005-500",0.84,0.8518518518518519
"(128, 64)-0.001-300",0.82,0.8301886792452831
"(128, 64)-0.001-500",0.8,0.8076923076923077
"(128, 64)-0.0005-300",0.82,0.8301886792452831
"(128, 64)-0.0005-500",0.82,0.8301886792452831
"(256, 128)-0.001-300",0.8,0.8076923076923077
"(256, 128)-0.001-500",0.82,0.8301886792452831
"(256, 128)-0.0005-300",0.8,0.8076923076923077
"(256, 128)-0.0005-500",0.82,0.8301886792452831
