params,accuracy,f1_score
"(64, 32)-0.001-50",0.7204301075268817,0.5185185185185185
"(64, 32)-0.001-100",0.7311827956989247,0.5614035087719298
"(64, 32)-0.0005-50",0.7096774193548387,0.425531914893617
"(64, 32)-0.0005-100",0.7204301075268817,0.5
"(128, 64)-0.001-50",0.7419354838709677,0.5555555555555556
"(128, 64)-0.001-100",0.7526881720430108,0.6349206349206349
"(128, 64)-0.0005-50",0.7634408602150538,0.5769230769230769
"(128, 64)-0.0005-100",0.7634408602150538,0.6764705882352942
"(256, 128)-0.001-50",0.7419354838709677,0.6571428571428571
"(256, 128)-0.001-100",0.7096774193548387,0.6666666666666666
"(256, 128)-0.0005-50",0.7419354838709677,0.6571428571428571
"(256, 128)-0.0005-100",0.7311827956989247,0.576271186440678
