params,accuracy,f1_score
"(64, 32)-0.001-50",0.7857142857142857,0.7567567567567568
"(64, 32)-0.001-100",0.8571428571428571,0.8333333333333334
"(64, 32)-0.0005-50",0.8333333333333334,0.8
"(64, 32)-0.0005-100",0.8095238095238095,0.7894736842105263
"(128, 64)-0.001-50",0.7857142857142857,0.7692307692307693
"(128, 64)-0.001-100",0.8333333333333334,0.8108108108108109
"(128, 64)-0.0005-50",0.8095238095238095,0.7647058823529411
"(128, 64)-0.0005-100",0.8333333333333334,0.8108108108108109
"(256, 128)-0.001-50",0.8333333333333334,0.8
"(256, 128)-0.001-100",0.8571428571428571,0.8333333333333334
"(256, 128)-0.0005-50",0.7619047619047619,0.75
"(256, 128)-0.0005-100",0.8571428571428571,0.8333333333333334
