params,accuracy,f1_score
"(64, 32)-0.001-300",0.7592592592592593,0.8571428571428571
"(64, 32)-0.001-500",0.7777777777777778,0.8695652173913043
"(64, 32)-0.0005-300",0.7592592592592593,0.8571428571428571
"(64, 32)-0.0005-500",0.7777777777777778,0.8695652173913043
"(128, 64)-0.001-300",0.7962962962962963,0.8817204301075269
"(128, 64)-0.001-500",0.7407407407407407,0.8444444444444444
"(128, 64)-0.0005-300",0.7962962962962963,0.8817204301075269
"(128, 64)-0.0005-500",0.7777777777777778,0.8695652173913043
"(256, 128)-0.001-300",0.7962962962962963,0.8817204301075269
"(256, 128)-0.001-500",0.7777777777777778,0.8695652173913043
"(256, 128)-0.0005-300",0.7962962962962963,0.8817204301075269
"(256, 128)-0.0005-500",0.7777777777777778,0.8695652173913043
