params,accuracy,f1_score
"(64, 32)-0.001-50",0.8,0.875
"(64, 32)-0.001-100",0.7857142857142857,0.8695652173913043
"(64, 32)-0.0005-50",0.7857142857142857,0.8672566371681416
"(64, 32)-0.0005-100",0.8,0.8703703703703703
"(128, 64)-0.001-50",0.7142857142857143,0.8275862068965517
"(128, 64)-0.001-100",0.8571428571428571,0.9019607843137255
"(128, 64)-0.0005-50",0.7,0.8173913043478261
"(128, 64)-0.0005-100",0.8,0.8703703703703703
"(256, 128)-0.001-50",0.7714285714285715,0.8181818181818182
"(256, 128)-0.001-100",0.8285714285714286,0.8867924528301887
"(256, 128)-0.0005-50",0.8714285714285714,0.9108910891089109
"(256, 128)-0.0005-100",0.8714285714285714,0.9108910891089109
