params,accuracy,f1_score
32-4-2,0.5925925925925926,0.6666666666666666
32-4-4,0.6296296296296297,0.6666666666666666
32-8-2,0.6666666666666666,0.7096774193548387
32-8-4,0.7037037037037037,0.7647058823529411
64-4-2,0.5185185185185185,0.5185185185185185
64-4-4,0.6666666666666666,0.7096774193548387
64-8-2,0.5925925925925926,0.6451612903225806
64-8-4,0.6296296296296297,0.6875
128-4-2,0.6296296296296297,0.6875
128-4-4,0.6296296296296297,0.6666666666666666
128-8-2,0.5925925925925926,0.6206896551724138
128-8-4,0.6296296296296297,0.6875
