params,accuracy,f1_score
32-4-2,0.8636363636363636,0.5714285714285714
32-4-4,0.7727272727272727,0.4444444444444444
32-8-2,0.8181818181818182,0.5
32-8-4,0.8181818181818182,0.5
64-4-2,0.9090909090909091,0.6666666666666666
64-4-4,0.7727272727272727,0.4444444444444444
64-8-2,0.8636363636363636,0.5714285714285714
64-8-4,0.9090909090909091,0.6666666666666666
128-4-2,0.9090909090909091,0.6666666666666666
128-4-4,0.8181818181818182,0.5
128-8-2,0.9545454545454546,0.8
128-8-4,0.9090909090909091,0.6666666666666666
