params,accuracy,f1_score
32-4-2,0.6379310344827587,0.4
32-4-4,0.6724137931034483,0.5128205128205128
32-8-2,0.6724137931034483,0.5128205128205128
32-8-4,0.6206896551724138,0.3888888888888889
64-4-2,0.6379310344827587,0.43243243243243246
64-4-4,0.7241379310344828,0.5789473684210527
64-8-2,0.6551724137931034,0.5
64-8-4,0.6896551724137931,0.5263157894736842
128-4-2,0.6379310344827587,0.43243243243243246
128-4-4,0.6724137931034483,0.4864864864864865
128-8-2,0.6551724137931034,0.5
128-8-4,0.6206896551724138,0.3888888888888889
