params,accuracy,f1_score
32-4-2,0.5072463768115942,0.5277777777777778
32-4-4,0.5652173913043478,0.5714285714285714
32-8-2,0.5217391304347826,0.5352112676056338
32-8-4,0.5072463768115942,0.5
64-4-2,0.5362318840579711,0.5294117647058824
64-4-4,0.6086956521739131,0.6197183098591549
64-8-2,0.5362318840579711,0.5428571428571428
64-8-4,0.5217391304347826,0.5217391304347826
128-4-2,0.5217391304347826,0.49230769230769234
128-4-4,0.5797101449275363,0.5915492957746479
128-8-2,0.5362318840579711,0.5428571428571428
128-8-4,0.5507246376811594,0.5633802816901409
