params,accuracy,f1_score
32-4-2,0.8181818181818182,0.8333333333333334
32-4-4,0.7575757575757576,0.7777777777777778
32-8-2,0.7575757575757576,0.7647058823529411
32-8-4,0.7878787878787878,0.8108108108108109
64-4-2,0.7575757575757576,0.7777777777777778
64-4-4,0.7878787878787878,0.8108108108108109
64-8-2,0.8484848484848485,0.8648648648648649
64-8-4,0.8484848484848485,0.8648648648648649
128-4-2,0.7575757575757576,0.7777777777777778
128-4-4,0.7575757575757576,0.75
128-8-2,0.7878787878787878,0.7878787878787878
128-8-4,0.6666666666666666,0.6206896551724138
