params,accuracy,f1_score
32-4-2,0.6129032258064516,0.3684210526315789
32-4-4,0.5967741935483871,0.2857142857142857
32-8-2,0.5645161290322581,0.22857142857142856
32-8-4,0.6129032258064516,0.29411764705882354
64-4-2,0.5483870967741935,0.3
64-4-4,0.5645161290322581,0.2702702702702703
64-8-2,0.6129032258064516,0.4
64-8-4,0.5806451612903226,0.3157894736842105
128-4-2,0.5967741935483871,0.2857142857142857
128-4-4,0.6290322580645161,0.34285714285714286
128-8-2,0.532258064516129,0.21621621621621623
128-8-4,0.5967741935483871,0.1935483870967742
