params,accuracy,f1_score
32-4-2,0.7419354838709677,0.8260869565217391
32-4-4,0.7096774193548387,0.8
32-8-2,0.7419354838709677,0.8260869565217391
32-8-4,0.7096774193548387,0.8085106382978723
64-4-2,0.8064516129032258,0.875
64-4-4,0.7096774193548387,0.8085106382978723
64-8-2,0.7419354838709677,0.8260869565217391
64-8-4,0.7741935483870968,0.851063829787234
128-4-2,0.7741935483870968,0.851063829787234
128-4-4,0.7741935483870968,0.851063829787234
128-8-2,0.7419354838709677,0.8260869565217391
128-8-4,0.7419354838709677,0.8333333333333334
