params,accuracy,f1_score
32-4-2,0.8450704225352113,0.8791208791208791
32-4-4,0.8732394366197183,0.9032258064516129
32-8-2,0.8450704225352113,0.8817204301075269
32-8-4,0.9014084507042254,0.9230769230769231
64-4-2,0.8591549295774648,0.8958333333333334
64-4-4,0.8450704225352113,0.8865979381443299
64-8-2,0.8873239436619719,0.9130434782608695
64-8-4,0.8732394366197183,0.9010989010989011
128-4-2,0.8309859154929577,0.8666666666666667
128-4-4,0.8169014084507042,0.865979381443299
128-8-2,0.8873239436619719,0.9148936170212766
128-8-4,0.8732394366197183,0.896551724137931
