params,accuracy,f1_score
32-4-2,0.8333333333333334,0.8888888888888888
32-4-4,0.9166666666666666,0.9523809523809523
32-8-2,0.75,0.8421052631578947
32-8-4,0.9166666666666666,0.9473684210526315
64-4-2,0.9166666666666666,0.9473684210526315
64-4-4,0.6666666666666666,0.7777777777777778
64-8-2,0.9166666666666666,0.9473684210526315
64-8-4,0.9166666666666666,0.9473684210526315
128-4-2,0.9166666666666666,0.9473684210526315
128-4-4,0.75,0.8235294117647058
128-8-2,0.9166666666666666,0.9473684210526315
128-8-4,0.8333333333333334,0.8888888888888888
