params,accuracy,f1_score
32-4-2,0.8636363636363636,0.8888888888888888
32-4-4,0.8181818181818182,0.8461538461538461
32-8-2,0.7272727272727273,0.7692307692307693
32-8-4,0.8181818181818182,0.8461538461538461
64-4-2,0.8636363636363636,0.8888888888888888
64-4-4,0.7272727272727273,0.7692307692307693
64-8-2,0.8181818181818182,0.8571428571428571
64-8-4,0.8181818181818182,0.8461538461538461
128-4-2,0.8181818181818182,0.8461538461538461
128-4-4,0.7272727272727273,0.75
128-8-2,0.8181818181818182,0.8461538461538461
128-8-4,0.7727272727272727,0.8148148148148148
