params,accuracy,f1_score
32-4-2,0.6989247311827957,0.5882352941176471
32-4-4,0.6559139784946236,0.5151515151515151
32-8-2,0.6881720430107527,0.5538461538461539
32-8-4,0.6989247311827957,0.5882352941176471
64-4-2,0.6236559139784946,0.5070422535211268
64-4-4,0.6881720430107527,0.5797101449275363
64-8-2,0.6989247311827957,0.5483870967741935
64-8-4,0.6451612903225806,0.547945205479452
128-4-2,0.6236559139784946,0.47761194029850745
128-4-4,0.6236559139784946,0.47761194029850745
128-8-2,0.6129032258064516,0.5263157894736842
128-8-4,0.6344086021505376,0.48484848484848486
