params,accuracy,f1_score
32-4-2,0.8571428571428571,0.8421052631578947
32-4-4,0.8333333333333334,0.7878787878787878
32-8-2,0.8095238095238095,0.7777777777777778
32-8-4,0.9047619047619048,0.8888888888888888
64-4-2,0.8333333333333334,0.8205128205128205
64-4-4,0.8571428571428571,0.8421052631578947
64-8-2,0.8333333333333334,0.8205128205128205
64-8-4,0.8571428571428571,0.8333333333333334
128-4-2,0.8095238095238095,0.7777777777777778
128-4-4,0.6428571428571429,0.5454545454545454
128-8-2,0.8571428571428571,0.85
128-8-4,0.8333333333333334,0.8
