params,accuracy,f1_score
32-4-2,0.8518518518518519,0.9069767441860465
32-4-4,0.8703703703703703,0.9213483146067416
32-8-2,0.8888888888888888,0.9333333333333333
32-8-4,0.8703703703703703,0.9213483146067416
64-4-2,0.8518518518518519,0.9090909090909091
64-4-4,0.8518518518518519,0.9090909090909091
64-8-2,0.8888888888888888,0.9333333333333333
64-8-4,0.8888888888888888,0.9333333333333333
128-4-2,0.8518518518518519,0.9090909090909091
128-4-4,0.8888888888888888,0.9333333333333333
128-8-2,0.8888888888888888,0.9333333333333333
128-8-4,0.8518518518518519,0.9090909090909091
