params,accuracy,f1_score
50-4-0.01,0.6,0.5
50-10-0.01,0.6,0.5
50-4-0.05,0.8,0.8
50-10-0.05,0.8,0.8
50-4-0.1,0.9,0.8888888888888888
50-10-0.1,0.9,0.8888888888888888
100-4-0.01,0.7,0.5714285714285714
100-10-0.01,0.7,0.5714285714285714
100-4-0.05,0.9,0.8888888888888888
100-10-0.05,0.9,0.8888888888888888
100-4-0.1,0.9,0.8888888888888888
100-10-0.1,0.9,0.8888888888888888
200-4-0.01,0.8,0.8
200-10-0.01,0.8,0.8
200-4-0.05,0.9,0.8888888888888888
200-10-0.05,0.9,0.8888888888888888
200-4-0.1,0.8,0.75
200-10-0.1,0.8,0.75
